一2542556
倍  12651
倣     72
俯   1123
倦   4691
倥     19
俸    225
倩   1761
倖    835
倆   4966
值  57997
借  21435
倚  14270
倒  51920
們 571155
俺   1681
倀     60
倔    227
倨     97
俱   6857
倡   1683
個 933857
候  79364
倘   2324
俳     44
修  85237
倭    153
倪   1579
俾    575
倫  15400
倉   3902
兼   9879
冤   2711
冥   3381
冢     79
凍   3583
凌   6383
准   9958
凋   1495
剖   1418
剜     40
剔    486
剛  61146
剝   2546
匪   3908
卿   3658
原 174329
厝    687
叟    183
哨   1492
唐   8102
唁     25
唷   6814
哼   2911
哥  60956
哲  15596
唆    769
哺    618
唔   2582
哩  15463
哭  16491
員 109155
唉  53049
哮    244
哪  93877
哦  25127
唧    229
唇   2640
哽    226
唏    229
圃    300
圄     38
埂    106
埔   3889
埋   4540
埃   3662
堉    367
夏  16486
套  31711
奘     65
奚    335
娑    644
娘  15363
娜   3741
娟   4558
娛   2626
娓    304
姬   2371
娠     18
娣    420
娩    144
娥    583
娌     79
娉    229
孫  11817
屘     15
宰   3479
害  51860
家 447793
宴   2071
宮  19968
宵   3817
容 108060
宸    232
射  27791
屑   2966
展  56225
屐   1111
峭    360
峽   2325
峻   1291
峪     21
峨    668
峰  15287
島  23592
崁    215
峴     17
差  76057
席  15504
師 135409
庫  14348
庭  11105
座  56615
弱  13963
徒  21432
徑   8545
徐  12774
恙    310
恣    542
恥   8157
恐  31356
恕   2873
恭  10148
恩  13311
息  54380
悄   4898
悟   7589
悚    288
悍   1546
悔  14321
悌    152
悅   5736
悖    279
扇   5687
拳  10349
挈     43
拿  80772
捎    172
挾    760
振  15639
捕   7836
捂     93
捆    219
捏   1464
捉   5015
挺   5478
捐   6649
挽   2405
挪   1796
挫   3156
挨   2248
捍   1366
捌    875
效  53687
敉     24
料  84954
旁  27695
旅  15733
時 658186
晉   4524
晏    449
晃   4900
晒    417
晌    220
晅     11
晁     29
書 166626
朔    823
朕    479
朗   5388
校 192451
核  34508
案  77425
框   4235
桓    432
根  59387
桂   3750
桔    448
栩    249
梳    868
栗   2476
桌  13128
桑   7139
栽   1837
柴   4482
桐    754
桀    148
格  85698
桃  11651
株   1864
桅     42
栓    216
栘     58
桁     30
殊  10621
殉    368
殷   3393
氣 121890
氧   2453
氨    166
氦    130
氤     41
泰  11706
浪  34731
涕   1281
消  57326
涇     53
浦   1875
浸   1677
海  88905
浙    331
涓    665
浬    231
涉   6957
浮  15229
浚    156
浴   4238
浩   9069
涌    241
涊      9
浹     74
涅   1382
浥     52
涔     95
烊    133
烘    945
烤   5237
烙    678
烈  19529
烏  12176
爹   2093
特 103567
狼  15194
狹   2476
狽    300
狸   1802
狷    752
玆    176
班  74297
琉   1414
珮   2426
珠   7587
珪    102
珞     94
畔   2389
畝    271
畜   1010
畚     65
留  70864
疾   4628
病  38013
症   7450
疲   4643
疳      9
疽     23
疼   5767
疹    433
痂     55
疸     19
皋     63
皰     63
益  28706
盍     53
盎    587
眩    558
真 335203
眠  11408
眨    622
矩   3275
砰    564
砧     84
砸   3351
砝     90
破  70155
砷    182
砥    278
砭     42
砠     11
砟     43
砲   8880
祕   5020
祐   1562
祠    573
祟    785
祖  14208
神 119932
祝  21276
祗     86
祚    103
秤   5135
秣     25
秧    167
租  15048
秦   5328
秩   4115
秘  13705
窄   1765
窈   1299
站 446241
笆    312
笑  94756
粉   6859
紡    646
紗   1196
紋   3656
紊    487
素  30215
索  15309
純  28912
紐   4050
紕    159
級  95710
紜    245
納  15556
紙  24519
紛   9009
缺  29257
罟     21
羔    649
翅   4894
翁   7228
耆    147
耘    693
耕   2168
耙    509
耗   6573
耽    885
耿   1744
胱    192
脂   1475
胰     39
脅   4090
胭    161
胴     43
脆   8466
胸   8631
胳    152
脈   4812
能 668264
脊   1080
胼     90
胯    152
臭   8107
臬    122
舀    129
舐     46
航  10189
舫    215
舨     58
般  87661
芻    317
茫   6378
荒   8322
荔    140
荊    706
茸    217
荐    548
草  29857
茵   1614
茴     22
荏    210
茲   4599
茹   1259
茶  16063
茗    432
荀    243
茱    569
茨     70
荃    258
虔    999
蚊   3177
蚪    196
蚓    366
蚤    979
蚩     50
蚌    228
蚣    380
蚜    106
衰   3602
衷   3798
袁   3152
袂   1546
衽     22
